sku,name,category,price,expected
2300001015002,デニム ¥1490,デニム,1490,
2300001020006,デニム ¥1980,デニム,1980,
2300001030005,デニム ¥2980,デニム,2980,
2300001035000,デニム ¥3490,デニム,3490,
2300001040004,デニム ¥3980,デニム,3980,
2300001045009,デニム ¥4490,デニム,4490,
2300001050003,デニム ¥4980,デニム,4980,
2300001055008,デニム ¥5490,デニム,5490,
2300001060002,デニム ¥5980,デニム,5980,
2300001070001,デニム ¥6980,デニム,6980,
2300001080000,デニム ¥7980,デニム,7980,
2300001090009,デニム ¥8980,デニム,8980,
2300001100005,デニム ¥9980,デニム,9980,
2300001120003,デニム ¥11980,デニム,11980,
2300001140001,デニム ¥13980,デニム,13980,
2300001160009,デニム ¥15980,デニム,15980,
2300001180007,デニム ¥17980,デニム,17980,
2300001200002,デニム ¥19980,デニム,19980,
2300001250007,デニム ¥24980,デニム,24980,
2300024009804,チノ/スラックス ¥990,チノ/スラックス,990,
2300024014907,チノ/スラックス ¥1490,チノ/スラックス,1490,
2300024019803,チノ/スラックス ¥1980,チノ/スラックス,1980,
2300024029802,チノ/スラックス ¥2980,チノ/スラックス,2980,
2300024034905,チノ/スラックス ¥3490,チノ/スラックス,3490,
2300024039801,チノ/スラックス ¥3980,チノ/スラックス,3980,
2300024045000,チノ/スラックス ¥4490,チノ/スラックス,4490,
2300024049800,チノ/スラックス ¥4980,チノ/スラックス,4980,
2300024055009,チノ/スラックス ¥5490,チノ/スラックス,5490,
2300024059809,チノ/スラックス ¥5980,チノ/スラックス,5980,
2300024070002,チノ/スラックス ¥6980,チノ/スラックス,6980,
2300024080001,チノ/スラックス ¥7980,チノ/スラックス,7980,
2300024090000,チノ/スラックス ¥8980,チノ/スラックス,8980,
2300024100006,チノ/スラックス ¥9980,チノ/スラックス,9980,
2300002005002,Tシャツ ¥500,Tシャツ,500,
2300002010006,Tシャツ ¥990,Tシャツ,990,
2300002015001,Tシャツ ¥1490,Tシャツ,1490,
2300002020005,Tシャツ ¥1980,Tシャツ,1980,
2300002025000,Tシャツ ¥2490,Tシャツ,2490,
2300002030004,Tシャツ ¥2980,Tシャツ,2980,
2300002035009,Tシャツ ¥3490,Tシャツ,3490,
2300002040003,Tシャツ ¥3980,Tシャツ,3980,
2300002045008,Tシャツ ¥4490,Tシャツ,4490,
2300002050002,Tシャツ ¥4980,Tシャツ,4980,
2300002060001,Tシャツ ¥5980,Tシャツ,5980,
2300002070000,Tシャツ ¥6980,Tシャツ,6980,
2300002080009,Tシャツ ¥7980,Tシャツ,7980,
2300002090008,Tシャツ ¥8980,Tシャツ,8980,
2300002100004,Tシャツ ¥9980,Tシャツ,9980,
2300002120002,Tシャツ ¥11980,Tシャツ,11980,
2300002140000,Tシャツ ¥13980,Tシャツ,13980,
2300002160008,Tシャツ ¥15980,Tシャツ,15980,
2300002180006,Tシャツ ¥17980,Tシャツ,17980,
2300002200001,Tシャツ ¥19980,Tシャツ,19980,
2300002250006,Tシャツ ¥24980,Tシャツ,24980,
2300002300008,Tシャツ ¥29980,Tシャツ,29980,
2300002350003,Tシャツ ¥34980,Tシャツ,34980,
2300002400005,Tシャツ ¥39980,Tシャツ,39980,
2300018010007,ポロシャツ ¥990,ポロシャツ,990,
2300018015002,ポロシャツ ¥1490,ポロシャツ,1490,
2300018020006,ポロシャツ ¥1980,ポロシャツ,1980,
2300018025001,ポロシャツ ¥2490,ポロシャツ,2490,
2300018030005,ポロシャツ ¥2980,ポロシャツ,2980,
2300018035000,ポロシャツ ¥3490,ポロシャツ,3490,
2300018040004,ポロシャツ ¥3980,ポロシャツ,3980,
2300018045009,ポロシャツ ¥4490,ポロシャツ,4490,
2300018050003,ポロシャツ ¥4980,ポロシャツ,4980,
2300018060002,ポロシャツ ¥5980,ポロシャツ,5980,
2300018070001,ポロシャツ ¥6980,ポロシャツ,6980,
2300018080000,ポロシャツ ¥7980,ポロシャツ,7980,
2300018090009,ポロシャツ ¥8980,ポロシャツ,8980,
2300018100005,ポロシャツ ¥9980,ポロシャツ,9980,
2300003010005,半袖シャツ ¥990,半袖シャツ,990,
2300003015000,半袖シャツ ¥1490,半袖シャツ,1490,
2300003020004,半袖シャツ ¥1980,半袖シャツ,1980,
2300003025009,半袖シャツ ¥2490,半袖シャツ,2490,
2300003030003,半袖シャツ ¥2980,半袖シャツ,2980,
2300003035008,半袖シャツ ¥3490,半袖シャツ,3490,
2300003040002,半袖シャツ ¥3980,半袖シャツ,3980,
2300003045007,半袖シャツ ¥4490,半袖シャツ,4490,
2300003050001,半袖シャツ ¥4980,半袖シャツ,4980,
2300003060000,半袖シャツ ¥5980,半袖シャツ,5980,
2300003070009,半袖シャツ ¥6980,半袖シャツ,6980,
2300003080008,半袖シャツ ¥7980,半袖シャツ,7980,
2300003090007,半袖シャツ ¥8980,半袖シャツ,8980,
2300003100003,半袖シャツ ¥9980,半袖シャツ,9980,
2300003120001,半袖シャツ ¥11980,半袖シャツ,11980,
2300003140009,半袖シャツ ¥13980,半袖シャツ,13980,
2300003160007,半袖シャツ ¥15980,半袖シャツ,15980,
2300017010008,長袖シャツ ¥990,長袖シャツ,990,
2300017015003,長袖シャツ ¥1490,長袖シャツ,1490,
2300017020007,長袖シャツ ¥1980,長袖シャツ,1980,
2300017025002,長袖シャツ ¥2490,長袖シャツ,2490,
